374,1
401,1
403,1
410,1
411,1
412,1
414,1
416,2
418,1
419,3
420,1
421,3
422,1
424,1
425,1
426,3
430,2
431,1
432,4
433,4
434,4
435,1
436,2
437,4
438,3
439,3
440,5
441,1
442,7
443,10
444,3
445,5
446,11
447,6
448,9
449,17
450,10
451,8
452,13
453,6
454,6
455,6
456,8
457,10
458,14
459,6
460,9
461,10
462,17
463,17
464,12
465,16
466,19
467,12
468,14
469,22
470,20
471,26
472,23
473,25
474,13
475,21
476,27
477,17
478,29
479,24
480,19
481,29
482,19
483,27
484,24
485,38
486,26
487,25
488,31
489,37
490,23
491,22
492,36
493,25
494,35
495,25
496,24
497,25
498,22
499,32
500,30
501,31
502,28
503,27
504,25
505,30
506,24
507,29
508,16
509,29
510,23
511,39
512,18
513,24
514,27
515,21
516,19
517,31
518,41
519,27
520,27
521,16
522,20
523,12
524,19
525,17
526,14
527,18
528,13
529,15
530,16
531,9
532,12
533,12
534,21
535,15
536,12
537,5
538,10
539,15
540,17
541,13
542,14
543,15
544,9
545,5
546,6
547,9
548,10
549,6
550,7
551,9
552,10
553,8
554,9
555,8
556,8
557,8
558,3
559,3
560,3
561,2
562,3
563,2
564,3
565,2
566,4
567,6
568,7
571,1
572,1
573,4
574,2
575,1
576,1
578,2
580,3
581,1
583,3
584,1
586,1
587,2
600,1
604,1
